Ticker,Price
AEAEU,11.26
AUTR,0.04
GLOV,48.5789
NG,4.445
SPAQ,98.9425
GSDT,0.0275
BORT,29.25
AVMA,58.1671
STPZ,51.8399
SOGP,2.215
ONWRF,5.84
IFIN.U,12.09
ATYR,1.65
UPMKF,33.828
TTFNF,70
NTDTY,14.975
AUMN,0.4445
FNCTF,10.54
VIRA,0.001
DUK/PA,25.135
GLV,5.81
FSEN,2.42
AVGR,1.67
NOVVU,12.2
ISGPF,17.31
AQB,1.701
PKG,192.65
AGYTF,0.06
WYNMY,7.86
CLIS,1e-06
AZFL,1e-06
USDP,0.045
LDSCY,8.26
HTRB,34.1
PBDC,34.23
PRS,24.67
ACGL,98.865
VSGX,58.9
DFHY,21.1652
RSASF,0.24
SOR,44.24
ELPC,6.48
JLQD,41.76
TLS,4.235
SGA,15.3499
DIVL,21.26
MFIN,8.32
GGZ,12.24
BORR,7.05
USHY,36.7
PVNNF,0.0011
FELTY,14.06
NGXLF,0.1
ETCMY,1.21
BSCO,21.11
SANG,4.99
AFFL,0.0365
IDIG,0.0412
CNK,21.57
QDTE,44.1199
GOLLQ,0.38
BRF,14.87
CKNQP,99.1
QVCC,12.26
GMBL,0.3609
BYRE,24.823
MVAL,31.072
AWI,121.69
INDH,44.19
EFX,275.24
SHTLF,2.43
RNW,5.595
MSFU,47.0099
DEER,0.0001
GGAL,27.0147
TLDN,0.0003
RAYC,13.53
IVOO,104.0333
ISDMF,5.52
MATH,1.33
BACHY,10.9
WBS/PF,20.6
SA,14.86
ETRXF,0.0001
NVD,2.4
RLJ/PA,25.0802
XBI,98.74
VNMC,36.808
SGMA,6.1199
VNCE,1.39
FWDG,1e-06
MOTS,0.0454
AUST,1.17
INVA,17.3
MYD,10.87
MPWR,825.03
NVGS,17.0258
SHRG,0.0015
FCF,16.84
GEMD,40.9883
NINOY,11.04
CJCFF,0.0336
RQI,12.3727
AGNCN,25.75
ICAP,26.5599
AGLAF,0.2506
IWB,303.79
GLSTU,12.35
CLEV,0.2201
CAWW,0.93
UBLXF,101.31
TARSF,0.1175
SBUX,75.01
BCKIY,6.82
TCMFF,0.174815
VFAWF,135.6253
JD,26.394
KZIA,0.6303
SPLM,0.0001
RSPM,35.98
WHF,12.2602
SMPL,37.125
FLGR,24.67
KWGBF,0.01
ALGN,257.64
JOUT,38.5
GWSAF,0.1074
CANOF,0.69245
PRU,127.5104
AGS,11.38
SISXF,13.87
CHNR,0.74555
VNUE,0.0006
PPYA,11.06
APT,5.8324
EFC/PB,21.7
RUSHB,46.227
GLDG,0.935
METXF,2.9474
SVAD,0.0003
ONLN,41.45
SACH/PA,21.52
GRDI,1.065
EUBG,0.2561
MLYBY,4.6
CVAT,0.0089
XISHY,9.5356
SDIIF,0.9
ALL,178.06
LZB,42.745
TEO,6.6
ACLHF,0.04414
WRMA,0.001
MGMT,38.9124
LGIH,107.42
UTGN,27.5
LFUS,271.092
RNECF,19.9
ATXS,11.265
DZZ,1.855
PRRWF,19.22
ICOW,31.3941
CTPCF,0.9352
AFGC,21.45
PGUUF,0.6129
WLFC,77.22
RENE,11.3
BUFG,23.475
SBGSF,245.58
WFHG,6
KIGRY,10.6201
SGPYY,54.96
EFU,7.2
SPPJY,2.82
XALL,0.00075
SDVKF,20.91
IPNFF,0.0229
MHGU,17.5
TKOI,0.0073
PWWBF,0.041
PRAE,33.9747
CDUAF,22.89
DIEM,27.07
JNUG,46.28
MAG,13.71
LAZR,1.97
DAX,32.66
WKEY,2.11
SAKL,0.011775
HMLSF,7.52
INAQ,11.36
FTFI,17.5
AMPY,7.38
SORT,0.5
CLLS,2.13
CQRLF,0.0227
AECX,0.4
MIY,11.52
WMT,70.78
HBCYF,8.4
FAN,16.69
TDIV,77.16
ANZFF,0.3202
TWODY,20.8
NRT,6.4719
OPMZ,1e-06
HYGW,32.61
ITFY,0.0331
OXLCP,23.51
NVEC,82.25
SHPP,27.3
HRST,2.58
EHOS,1e-06
AIRJ,10.67
CPSS,11.0501
USGA,1e-06
CSTPF,0.37
HHGCU,11.5
FGOVF,0.39545
FGD,23.28
QVAL,44.71
CBBB,0.18
PCG/PG,17.9
CAPV,0.0073
OBDC,15.425
CDIO,0.5479
MAPT,0.0005
NZF,12.325
CTRYY,1.81
NRGOF,0.014
QFIN,19.12
COKE,1082.27
SONN,0.8987
EZA,43.72
RTO,30.17
WEEL,20.3987
INTI,0.085
ACDXF,0.0465
PMNT,1.8002
USLG,0.0142
JUNW,28.87
NX,31.495
PMGYF,0.3593
YBTC,47.55
MEIYF,11.73
IIIN,32.37
EYLD,34.372
RYI,24.345
NBVAF,0.209
TOELY,96.03
GLPEF,20.538
QCAP,21.2099
VGK,68.425
UMGP,0.194
DUHP,32.77
RBNW,1e-06
CHW,6.955
ATPC,0.2
AGQ,39.3
MIG,21.368
SHGDF,0.0483
FRCJL,0.0002
JDOC,60.48
VIOV,92.04
MASS,6.02
AKYA,2.57
CNM,51.975
AGZ,108.63
TUSI,25.34
MKGP,0.0055
OWL,18.91
HMN,35.77
PMPG,0.0001
SBBCF,0.7
HYLG,25.8982
FPFD,21.7001
EGHSF,22.4
CUBT,0.0126
BIMI,1.4
MCEM,200
GJP,24.91
FCPI,41.62
BANL,0.8999
AM,14.755
XTOC,28.3807
EMRAF,34.235
HLLPF,1e-06
AMBP,3.64
ARGD,22.25
ASGN,104.81
GEDC,3.55
VLNSF,4.35
DTST,5.94
EBON,6.58
UCBIO,24.4
REVB,1.8786
ARKG,26.215
SALM,0.2425
DMAY,38.93
WCC,173.87
SVM,3.715
MYGN,26.77
CRFQF,0.99
IHGP,0.0699
DLPN,0.871
MTCH,35.81
CLAR,6.44
UTRN,27.7519
NVOS,0.6099
KGKG,0.0008
DDD,3.99
AMS,3.25
DBVT,0.8607
CLPMF,0.235
ESIFF,0.19
JPST,50.455
LI,20.3
CLLKF,4.2
TRSG,3.01
RXT,2.515
SKHCF,17.648
GGLL,45
KIO,13.945
BWG,8.65
CHRD,176.75
PSCC,37.7
NRDE,1.7
ATLN,6
OMMSF,0.05545
RDEXF,0.0541
AE,28.22
DAUGF,0.047
TRV,223.765
VWI,27.4
POET,3.19
GRND,11.62
FTV,78.2
VNET,2.175
LGHL,0.3903
KNBHF,75.67
ISGAF,5.45
TOSCF,12.99
DRH,8.575
BYRN,9.79
LSH,3.13
CVWFF,0.723
PDGO,0.0001
EWI,37.875
CDEVY,4
UFO,17.36
DMFG,45.25
KLDCF,0.74
PNFPP,23.94
NVNI,1.18
ATXI,3.65
MSSS,26.7201
FLES,0.0075
TSLA,253.3
CNPOF,0.0974
BYCBF,1603.5
NL,6.2701
KTEC,11.1
IESC,147.075
BLE,10.754
ADBE,559.13
IVDA,0.4906
ADM,65.54
GLGI,1.35
SWAG,1.28
RTAI,21.62
AGOX,28.21
RAVE,1.9
CDLX,8.91
AXXA,0.001
RSNVF,0.1001
RGST,0.00722
GPLDF,1e-06
SCAP,35.9895
CCEP,74.2
KPELF,4.635
BTSG,11.92
ALCUF,0.14
WCFB,6.9
CRNT,2.625
KAIKY,15.375
BOLSY,6.11
TMC,1.315
SKY,78.175
MIRA,0.8245
GNGYF,0.285
ZICX,0.0005
SRHQ,35.3316
EFTR,0.0561
CTYP,4.5
BTTX,0.0108
DFIC,27.1972
SURE,115.9282
INOTF,0.006
IOSP,131.15
IBIB,25.07
UNF,184.63
CYRB,4.99
LSB,0.516
VTECF,0.1451
BILD,25.9431
CWEN,25.55
BIDCF,0.22
CIPI,0.44
VEL,19.095
RHRX,15.6983
GYYMF,1.625
AMADY,67.085
BCNWF,0.0935
PANL,7.47
DMB,10.61
DSFGY,7.93
TATT,14.38
TRUMY,17.63
CPCAY,5.0885
CDNAF,102.69
CULTF,0.2625
SMCF,30.48
FMNY,27.005
JHAC,14.11
TSLL,14.58
WFAFF,44
VLGEA,27.665
AKZOF,62.5
SUEZF,14.295
ORXGF,2.86
PTA,19.97
AHT/PH,15.58
DRNG,0.0003
FGROY,1.9
APMU,24.73
COCSF,8.86
REZNF,0.001
IHYF,22.4961
HLCO,0.0002
BCC,136.075
THAR,3.7
ABLV,1.38
NPWR,9.52
INVZ,0.9368
NXL,1.3289
LRSV,0.0024
MFGI,23.95
IROQ,16.75
VCSH,77.86
SDCP,25.85
GTE,10
TRYIY,10.14
SPHB,87.67
WW,1.275
ERAO,0.038
COIHY,26.49
BC/PA,24.89
ABLZF,55.88
COVTY,30.005
AR,29.47
GGEI,0.0079
CBAF,24.05
HANNF,0.4389
EQS,1.34
FNF,54.6
QTJA,23.75
SEAL/PA,25.5492
TBBB,25.89
EFC,13.06
GCT,29.72
VRAI,24.54
DOL,52.376
WDFN,19
TRVN,0.2467
INNV,6.09
IGBH,24.3099
ELOX,7
PSFD,31.8346
OAMCF,0.1734
TFSL,13.77
WWJD,30.57
DPWW,0.0001
EMED,0.0005
SDY,134.45
NN,8.83
HWM,77.37
ITW,254.1225
SKLTY,28.48
EBBGF,21.95
TNLX,0.6201
ZZZ,24.88
TGGLF,0.07054
DCI,74.21
ZBAO,3.16
IBKR,121.87
SEAL/PB,25.73
MCOA,1e-06
ONEQ,70.3
QLV,64.0906
AMMJ,0.006
UYM,27.885
GCHEF,7.75
ZAIRF,0.123
PRIF/PF,23.68
HDG,49.9411
FNMAJ,4.42
SCVFF,0.018
MISVF,0.1363
SLDP,2.235
KLMT,25.7269
PETQ,22.2773
NA,0.3952
FEMY,1.14
VWAPY,11.68
SWONF,19.8
BACHF,0.42
ISVUF,10.0739
ACET,1.265
IMAQ,11.5086
CPLP,16.68
ALVR,0.8071
FFIN,35.69
HVRRF,260.705
AKZOY,21.36
OPRA,12.185
ESML,41.12
JBSS,103.12
GDPHF,0.01
RISR,34.9
IPGDF,4.02
OGEN,1.085
FISB,13.13
NRIM,68.3969
VNO/PL,15.91
PSCM,81.79
SBSW,4.6175
CRGGF,3.72
ISUZF,13.515
FLHK,16.63
COMSP,0.04
EMXC,60.39
BKDT,106.35
DBEZ,45.8401
OTGLF,37
TVBCY,0.7513
IMRN,2.73
RWCRF,0.50885
BAC/PL,1215.8384
ACHC,67.655
NSP,101.6
CMTNF,0.03298
MUJ,11.46
LBTYK,19.655
ZBH,112.955
TTNMF,1.55
DWAS,91.2396
STN,86.08
MMIN,24.225
SURG,3.0616
CRZBF,16.27
SQNXF,34.6
OTTW,13.69
GAINZ,22.917
SKFG,0.035
ULBI,11.49
JVSA,10.16
BUFC,37.8
MAV,8.33
CLTFF,2.44
PSTP,30.77
PINS,41.245
VRNA,23.375
LTSAP,15.56
GRTS,0.6904
CWAN,19.825
TGHI,1e-06
XMHQ,100.5385
MSADY,23.9784
HIBL,45.9
ADC/PA,18.27
ADSK,244.73
IEV,55.9
PMKY,1e-06
PYPY,16.35
PAGP,19.81
SBMCF,0.079
PICK,40.73
OCTP,25.7393
ATHA,3.23
ACGBY,10.89
FTWS,1e-06
IHRT,1.385
NCTKF,18
CAOVF,1.56
OEUR,30.5742
CTKYY,0.032
GLPGF,24.55
CLPS,0.9499
ISVQF,5.82
BOUT,36.12
GTLS/PB,64.03
WS,37.48
JPM,212.36
OXY,64.14
DLAPQ,0.0303
STXE,30.31
GAUG,33.785
FMAY,45.2899
FCEL,0.604201
RXRLF,0.28725
TNABY,12.208
SIRC,0.0001
BABB,0.85
CYDVF,0.24
SVRA,4.75
NFRA,55.8
MVLA,0.03
DIIBF,5.1088
FLC,15.88
ONCO,0.253
COIHF,52.73
LTHUQ,0.0001
CORP,96.48
CRFCF,1.25
BNAI,3.25
BMRC,21.435
ELIO,0.0005
TGNA,16.415
YCBD,0.6325
DJIA,22.49
DTW,23.735
RIVF,0.65
LOOP,2
FELE,104.77
SIXS,48.8747
ARVN,30.205
DRLL,30.83
JPME,99.9901
PASG,0.9
GBOOY,41.29
BFIX,23.625
ABNAF,0.047
FVAL,59.4
YUKA,0.013
FWONK,78.51
FCAP,30.6
BFC,92.44
CTXR,0.832
MATX,129.41
TZA,14.0201
GSLR,0.02795
CUPUF,13.698
BLSFY,70.59
MS/PK,24.99
ASPI,3.105
LYG,3.045
MGRB,19.42
KXSCF,121.77
FFLG,23.22
NTNX,47.455
IXIXF,0.025
AZASF,0.2919
OCFT,1.78
FQVTF,12.945
STLFF,0.9355
HMMR,0.035
WRB,56.45
HSCT,0.07
OCCIO,24.2558
RIGS,23.08
LWCTF,1e-06
VALV,1e-06
LHTV,4.632
LEDS,1.5
BDLNF,0.21132
SKYT,7.76
NEUE,5.1522
WBIY,30.8
TJUL,26.94
ISVL,36.51
SHOT,1.09
HPE,20.925
PFLT,11.565
RNG,33.03
EMSHF,854.85
SONM,4.1
REYN,27.39
PRO,24.845
URNM,47.4188
OMFS,38.32
FRGGF,0.4288
BKSC,11.78
ABBB,8.46
BEOB,75
SNY,50.49
TGCB,0.1198
GPIX,47.63
JBSAY,11.28
SIMO,73.125
ALTL,36.06
IPCFF,14.8448
PEGRF,8.255
SCHV,77.53
ISUDF,5.84
NRHI,0.125
SNRY,0.0006
IHSXF,102.53
BBLR,0.0175
MORN,309.97
SF/PB,24.6
DT,43.27
YTEN,1.61
HBIA,65.05
EQBBF,30.91
CABGY,25.08
DVSPF,3.8
THR,33.835
GMET,24.4502
HBB,19.57
GELYY,20.71
TYRA,20.41
ETG,18.99
CLNN,4.8
BBJP,58.68
DSNKY,38.1
OLOXF,8.02
NWAU,0.0001
GCV,3.6795
SNVP,1e-06
NDAQ,63.17
BKU,36.73
APRU,0.0027
ALBY,18.36
NAPR,47.7
QBAK,5.98
RETO,1.55
INGEF,3.699
IYM,145.4
AFJK,10.36
MHLA,15.47
BKTPF,0.0325
SJM,122.96
SBNYL,4.75
MKRYF,1e-06
CAMPQ,0.172
MAHMF,33.025
MMND,0.05085
BOND,92.22
RAYS,10.12
GRVY,76.98
SIDU,2.85
RGNNF,0.4858
DNAG,1e-06
WRLGF,0.50128
AIM,0.41
FSRL,8.15
XHYC,37.5353
BRYAF,0.04
LSANF,6.8381
KTHAF,0.4432
OZEM,26.89
LEGIF,86.16
PACV,0.0001
MTA,3.115
TY,31.7
CXOXF,0.0779
ESKYF,0.185
VIVPS,5
BCHG,10.725
PCG,18.035
HST,18.46
HRI,152.88
GRP.U,53.94
OUSA,51.26
FLRT,47.815
BRKR,63.73
TSHMY,11.82
SNYR,0.12
SFEB,21.0504
GLO,5.38
YCL,21.238
CSM,63.63
GEGR,0.0061
MITN,25.34
FCG,27.34
HMNY,1e-06
LRFC,22.17
XSMO,65
EUSC,38.92
LYFT,12.595
CYTH,1.2334
CBU,59.2
EEMV,58.77
FTBYF,0.1542
LIXT,2.6189
CIVX,0.0005
XSVM,57.52
AME,174.11
AMTY,0.0445
DEW,52.53
WNDW,0.23
ICPVF,1.8
FLBL,24.3999
XVIPY,12.11
SGOL,23.55
LFLY,2.165
NDLS,1.595
VRTS,246.395
THQQF,2.34
STLY,5.8
TOLL,32.485
PXS,5.29
BVAXF,0.0448
AA,36.23
LWLG,3.87
OLNCF,0.99165
MPU,2.16
NGENF,2.0873
NEOV,2.4
JAGGF,2.72
AGESY,47.38
HPNN,0.0003
DIST,10.81
TDVXF,4.825
BWLVF,0.003
CCS,98.54
FOXF,50.58
ING,18.525
LDSF,18.885
VICA,0.0001
FULC,8.19
RC/PE,18.4173
UNM,54.3379
MONRF,62.5
USAQ,0.25
FTXP,1e-06
EVKRF,0.0314
XTEPY,61.0105
CUKPF,15.56
SLCA,15.445
DVLU,29.37
WBD,8.7
UEPEM,64.75
ECEZ,1e-06
DSDVF,171.18
MAMB,22.49
PROF,10
NRSCF,5.7
TZROP,1.99
CODI,23.6999
BFXXQ,0.0006
NTB,39.975
ABMC,0.0001
SCBFY,19.275
FBBPF,3.5
TRNLY,2.05
ATO,124.83
BRN,2.18
IPX,15.5
UFPT,322.96
JDEPY,10.12
NGLD,3.09
BABWF,2.25
BNTX,87.39
PWER,28.6647
GLDD,9.2
FNV,126.79
QBER,24.9699
CMPR,96.725
TGIC,0.0002
SIG,86.18
CUBI/PF,25.5
BRZU,66.99
ENZN,0.15
FCT,10.285
INVH,36.175
NUDV,28.4924
LUMN,1.3805
ANG/PA,24.74
DTEGY,26.476
PUTW,33.81
STJO,0.026
MAQAF,3.2
ITEEF,0.1331
TYOYY,128.645
ASXSF,0.2075
BZH,33.06
AUOTY,5.78
PRIF/PG,24.07
IH,1.63
CVHIF,1e-06
NLVVF,0.01025
DDNFF,0.1098
TOLZ,47.44
SMLP,36.2817
TSOI,0.0006
PRH,26.355
QCXGF,0.0126
ASC,19.85
YPF,19.855
UATG,0.0035
HLPPY,4.33
AACT,10.72
FTDPF,44.91
ENTO,1.07
IWY,212.9482
TYIDY,85.024
GVA,64.71
QDEF,67.69
BCCEF,0.033
RLLCF,0.0037
FREL,27.33
CITZ,30
EGY,6.945
CGCV,25.82
ERNXY,20.34
QEMM,59.79
PFG,86.75
RIGMF,0.07
MDAI,1.87
HDL,17.36
FSBW,41.44
ANPCY,2.44
TSRMD,0.64
CEI,0.1318
SARK,27.9496
LUCD,0.855
ELTP,0.1994
FRO,23.3401
YMAIF,0.11325
ERIE,383.87
MJNE,0.0001
RNR,233.095
FNDC,36.24
AMXEF,1.23
MTWO,0.29
HLMAF,34.75
WUCT,34.28
PUSOF,0.077
CRSM,0.00164
DGT,132.61
CVRT,27.65
CLOE,12.4
AWCA,0.9199
ISHUF,111.3105
STRFF,0.18975
SYUS,49.3206
GNSMF,0.0593
MYND,2.9189
DON,49.74
FOUR,69.095
CEFC,9.03
BULD,22.92
CBRE,98.59
BVTK,1e-06
GGDVF,0.53445
CDC,61.95
ANPDF,9.8905
YLWDF,6.79
VISL,5.9
LNNGF,1.95
BOWFF,55
MOND,2.73
FFLV,21.3016
LBSR,0.2765
FREE,4.86
CACI,450.43
GIGM,1.28
DPCDF,9.54
RNR/PF,24.1
TGLVY,0.9
PBP,22.4543
SERV,2.6801
BRVO,0.065
MUNMF,0.17
SGBX,2.36
VLO,149.81
USDX,25.49
AJX,3.74
STLJF,67.09
KLXE,6.6
SFBI,1e-06
HSTO,0.22
SPOFF,0.1735
CFACY,15.2
BTU,23.48
XBAP,32.6
CIO/PA,17.9
NEXNY,57.25
DLR/PK,24.62
RBSFY,6.171
NDGPF,0.3747
XTGRF,0.8298
DFE,63.23
HTH,35.105
SMTEF,9.213
GBBK,11.05
PSQH,3.695
SKKRF,0.0161
GASS,6.68
CHJTF,0.76532
ZOM,0.1548
TNGX,9.74
HLI,148.56
ESRT,10.735
NFLDF,0.0671
TKAMY,4.36
SURVF,0.84785
MEQYF,123.1953
TOMDF,1e-06
LAAC,3.19
OIBZQ,0.1697
PFXNZ,22.48
PNTG,27.3
MKC,75.24
SMCO,24.73
BLES,38.08
LOGI,89.49
ACSAY,8.48
AMDY,15.42
UMICF,14.61
DAVE,41.43
FMANF,0.07
GLNK,100
GNRV,2.7
NXRT,41.79
ABMRF,16.825
BNGO,0.6444
TRFE,0.098
NUBD,22.105
KRNY,6.995
CHDRF,720.144
TELDF,2.37
ICE,148.725
IYK,68.21
MDT,83.22
KRNT,15.885
BOMO,0.0005
TMSH,0.0002
QOIL,1e-06
CRK,10.24
NOVV,12
IBDRY,51.72
MRZM,0.05
JXN,83.29
LRSRF,0.105
RAIL,3.1041
CODGF,85.25
TEUTF,0.95
LTSL,20
INTWF,0.137
BINP,0.34
SRAX,0.1675
HLLY,3.995
IAUM,24.59
GPMT,3.18
FLYE,6.15
TPYP,29.955
CFG/PH,26.38
QVMS,27.3999
HMRFF,1.855
FMHI,48.79
ELVA,2.46
TSE,2.87
VOYJF,29.145
ALMRY,10.03
IBITF,31.4
PAVM,1.07
MYFW,19.55
ASII,0.00035
FFWM,6.62
RETDF,4.16
WFCL,6180
STEV,0.0034
SRRTF,8.73
MCN,7.15
JJSF,169.5
OIA,6.41
ACACU,11.78
TIME,27.1
BRHY,51.22
ASAGF,0.9563
CRBP,58.225
SNPV,31.06
MITT/PB,20.5
INXSF,0.3711
DIVP,26.1042
BUFD,24.4797
DVCMY,9.28
FRHC,82.5502
HPURF,0.9
NREG,0.01
ISBA,19.1001
DSHKO,8.25
IYZ,22.81
MTRX,10.12
SATL,1.256
EVOTF,10.13
HITC,0.078
OGIG,38.63
STEL,26.76
IQDE,22.24
NTMFF,0.1402
SSII,4
MLKN,29.72
BKUT,467
YRIV,8.6e-05
ORESF,0.02
HEGD,21.6401
NVLHF,0.09605
PSA/PF,23.3806
XFIX,52.14
NTBP,975
NMKCP,65.95
PCIG,9.7598
AFSIC,13.95
EKTAF,6.13
KPTSF,6.27
EAPH,1e-06
BPMC,111.46
CNOBP,20.97
SVVC,0.0705
IOBT,1.31
SLMBP,76.51
UPMMY,33.79
ESGB,21.14
EXMT,0.00065
VIRI,0.2786
EXEL,22.625
SSAAY,2.835
NOCT,49.08
CSPI,15.04
ATLCZ,25
HDIH,0.0002
ESQ,56.68
DMYY.U,10.75
COSM,1.24
BFFAF,47.61
TDCB,7.1
FIVA,26.15
SHTDY,12.2
BTFX,29.59
HEQ,10.53
